#{"t_start": 1715706444.1611142, "env_id": "ALE/AirRaid-v5"}
r,l,t
1150.0,1075,54.794535
975.0,622,77.718745
750.0,657,97.293384
275.0,336,107.453145
225.0,253,114.92632
300.0,350,122.158887
650.0,749,143.935275
250.0,254,151.373052
525.0,494,165.804173
700.0,451,178.316859
1525.0,1461,219.171247
550.0,479,232.795296
725.0,846,253.651826
800.0,834,277.912359
125.0,160,282.636178
625.0,421,295.474341
625.0,458,309.277016
450.0,590,326.886315
100.0,255,334.578165
200.0,229,341.461414
1775.0,1088,372.629539
375.0,374,383.932038
525.0,497,399.246045
475.0,442,412.516094
525.0,443,424.664407
675.0,999,451.830458
300.0,566,466.302458
650.0,585,481.96805
550.0,470,495.056569
775.0,744,516.250345
575.0,480,528.974345
500.0,425,540.999348
100.0,405,552.394341
350.0,314,561.027346
350.0,494,574.248345
650.0,710,592.521867
675.0,699,612.25996
825.0,898,637.284957
200.0,309,646.72296
500.0,581,665.17201
1850.0,1717,720.208633
300.0,484,737.232987
400.0,605,757.599988
600.0,649,778.885984
600.0,695,801.257714
1600.0,1244,837.800297
575.0,426,849.785294
1125.0,742,871.337823
600.0,653,890.477391
775.0,724,911.224213
1050.0,1109,943.358741
500.0,606,959.837265
250.0,289,967.926263
175.0,205,973.381264
250.0,352,982.962263
325.0,402,994.904265
925.0,1063,1025.609005
675.0,1003,1057.939862
975.0,863,1086.193254
525.0,658,1111.929411
425.0,379,1123.262979
375.0,384,1135.761613
1450.0,1718,1187.063862
450.0,643,1206.769041
1025.0,723,1228.903335
325.0,344,1240.820387
1500.0,949,1272.740196
850.0,565,1289.425716
550.0,374,1300.693811
775.0,711,1323.51891
300.0,259,1331.095909
475.0,462,1344.893908
800.0,619,1363.892999
950.0,819,1391.490767
350.0,650,1411.439488
100.0,170,1416.31349
500.0,346,1427.544424
850.0,554,1444.697404
550.0,568,1462.437402
375.0,786,1486.683523
325.0,309,1496.649572
1050.0,1345,1539.179571
375.0,809,1565.111096
425.0,662,1585.256438
775.0,1125,1620.200078
650.0,614,1639.343297
825.0,631,1660.616081
525.0,323,1670.760926
200.0,298,1680.006767
950.0,952,1709.033978
300.0,640,1729.527846
500.0,486,1743.563847
200.0,281,1752.79837
350.0,312,1762.847897
500.0,487,1777.809477
625.0,335,1788.510096
475.0,453,1803.189758
275.0,249,1810.677552
225.0,399,1822.805141
75.0,316,1832.765236
625.0,706,1856.905974
925.0,767,1882.629485
225.0,468,1897.921525
75.0,173,1903.327526
700.0,671,1924.034103
100.0,365,1935.325102
425.0,527,1951.229101
725.0,562,1967.635102
1300.0,1307,2006.685101
275.0,352,2017.214103
525.0,492,2032.012104
400.0,456,2045.507102
250.0,172,2050.561103
350.0,299,2059.3811
250.0,398,2071.0831
350.0,392,2084.066795
725.0,540,2102.43239
350.0,404,2115.168518
975.0,580,2133.836151
300.0,366,2143.401246
400.0,323,2153.200889
425.0,216,2159.547087
825.0,848,2184.485441
1850.0,1736,2235.317351
425.0,712,2257.602347
600.0,468,2271.230323
500.0,453,2284.309768
250.0,252,2291.749794
450.0,501,2306.332813
750.0,810,2329.925079
200.0,304,2338.633061
775.0,637,2357.538681
525.0,714,2378.625426
525.0,846,2403.609647
125.0,143,2407.697431
325.0,208,2413.821211
550.0,452,2427.425209
800.0,788,2450.554219
275.0,299,2459.224216
275.0,308,2468.08263
750.0,471,2482.109574
725.0,568,2498.61118
650.0,836,2523.919116
475.0,470,2538.337371
575.0,801,2561.980234
475.0,460,2576.716424
650.0,697,2598.817532
1575.0,1329,2640.096262
925.0,1475,2683.400972
825.0,995,2714.258064
1525.0,1518,2766.215979
200.0,300,2776.096058
250.0,449,2792.048076
475.0,926,2825.019139
300.0,458,2841.065214
550.0,530,2860.056124
350.0,309,2871.527675
750.0,447,2887.358022
275.0,264,2896.930965
450.0,528,2918.331716
400.0,453,2936.247895
500.0,522,2955.64099
550.0,703,2980.235724
825.0,681,3006.880853
425.0,490,3025.450135
750.0,454,3043.802834
625.0,480,3062.955994
100.0,170,3070.950905
1050.0,896,3111.431661
